Row Labels;JDS1;JDS10;JDS11;JDS12;JDS13;JDS14;JDS15;JDS16;JDS17;JDS18;JDS19;JDS2;JDS20;JDS21;JDS22;JDS23;JDS24;JDS25;JDS26;JDS27;JDS28;JDS29;JDS3;JDS30;JDS31;JDS32;JDS33;JDS34;JDS35;JDS36;JDS37;JDS38;JDS39;JDS4;JDS40;JDS41;JDS42;JDS43;JDS44;JDS45;JDS46;JDS47;JDS48;JDS49;JDS5;JDS50;JDS51;JDS52;JDS53;JDS54;JDS55;JDS56;JDS57;JDS58;JDS59;JDS6;JDS60;JDS61;JDS62;JDS63;JDS64;JDS65;JDS66;JDS67;JDS68;JDS7;JDS8;JDS9
1002-53-5;;;1;;;1;1;1;1;;1;1;;;;;;;;;1;1;1;;1;;;;;;1;;;;1;;;;;;;;1;;;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;1;1;1;;1;;
1007-28-9;2;3;4;2;3;3;3;1;2;2;4;4;4;4;4;2;3;4;4;4;3;3;4;4;3;4;4;4;3;4;3;4;4;3;4;2;4;3;3;4;4;3;2;4;4;3;1;3;3;2;4;2;4;2;4;4;4;4;3;4;2;3;4;3;4;3;4;3
104-40-5;1;3;3;1;3;3;3;;2;1;3;3;3;3;3;1;2;3;3;3;2;2;3;3;2;3;3;3;3;3;2;3;3;3;3;1;3;3;3;3;2;3;;3;3;3;1;2;3;1;3;;3;;3;3;3;3;3;1;1;2;3;2;3;3;3;2
1066-51-9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1071-83-6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1
1135-99-5;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
115-86-6;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;;;1;;;;;;1;;1;;;;1;;;;1;;;;;;;1;;1;;1;;;1;;1;
117-81-7;1;1;;;;;;;1;;;;;1;1;1;;;;1;;1;;1;1;;1;1;1;1;1;;;;1;;;;1;1;1;1;1;1;1;1;;1;1;;;;;;1;1;;1;1;1;1;1;1;;1;1;;1
120-12-7;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1
120-32-1;1;3;3;1;2;;3;1;2;1;3;2;3;3;3;1;3;3;3;3;2;2;3;3;2;3;3;3;2;3;2;3;3;3;3;1;3;3;3;3;3;3;1;3;3;3;1;3;3;1;3;1;3;1;3;3;3;3;3;3;1;2;3;2;3;3;3;2
1231244-60-2;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1241-94-7;1;1;;;1;1;;;;;;;1;;;;;1;1;;;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;1;1;1;;;1;1;1;;1;1;1;1;1;1;1
